Shire,326
Gondor,269
Mordor,225
Rohan,205
Tirith: 151,0
Isengard,155
Black Gate: 120,0
Rivendell,119
Bree,131
Moria,94
Bag End: 85,0
Lórien,74
Orthanc,77
Anduin,71
Fangorn,65
Middle-earth,59
Hobbiton,55
Morgul,60
Helm's Deep,18
Mirkwood,42
Ithilien,38
Lothlórien,41
Amroth,35
Osgiliath,34
Edoras,40
Barad-dûr,29
